Darija,English
البرازيل هي أكبر دولة كاثوليكية رومانية على وجه الأرض، والكنيسة الكاثوليكية الرومانية دايما كانت كتعارض السماح بالزواج ديال المثليين في البلاد.,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country."
يقدر يكون في الفطور الماكلة الموسمية ديال المنطقة أو طبق خاص بالمضيف ديالك.,Breakfast may include seasonal delights of the region or the host's speciality dish.
"قالت صحيفة الجارديان البريطانية أن ""بنك دويتشه"" كيتحكم تقريبا في الثلث ديال 1200 شركة وهمية كانوا كيستخدموهم باش يديروا هاذشي.",British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.
لكن فشي بارتيات أخرين فلعالم فين تتكون الحيوانات الجرثومية جديدة عليك، كاين احتمال كبير جداً أن تطيح فلمشاكيل.,"But in other parts of the world, where the bacteriological fauna are new to you, you're far more likely to run into problems."
ولكن واش لمخيلة ديالنا مبنية على الواقع؟ وعلاش تبنات لقلاع ف الأصل؟ وكيفاش تصممات وتبنات؟,But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?
"ولكن البحرية الملكية كانت مازال قوية بزاف من البحرية الألمانية (""كريغسمارينه"") وكانت تقدر تدمر أي أسطول غزو كيجي من القناة الإنجليزية.",But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.
"ولكن، يلا وقع هاذشي على الأرجح، ما غاديش يوقع مرة أخرى لفترة طويلة بزاف. النجوم منتشرة بزاف لدرجة أنه كاين تريليونات الأميال ما بين النجوم اللي كتعتبر ""جيران"".","But, if this ever does happen probably won't happen for a very long time. The stars are so spread out that there are trillions of miles between stars that are ""neighbors""."
الشرا دلماكل من السوبير مارشي غالبا تيكون أرخص طريقة. وتيكون أحسن حل هو هو لفاست فود فلوقت اللي مكيناش فرصة لواحد يطيب.,"Buying food in supermarkets is usually the cheapest way to get fed. Without cooking opportunities, choices are however limited to ready-made food."
هاذ النهار بكري، كانت سرعة الرياح حوالي 83 كم/ساعة، وكان من المتوقع أنها تبقا غاديو وكتضعاف.,"By early today, winds were around 83 km/h, and it was expect to keep weakening."
كتقدم مقهى CafeNet El Sol خدمة ريزيرفاسيون مقابل رسوم بقيمة 30 أو 10 دولار للتيكيت نتاع نهار واحد فقط؛ التفاصيل على صفحة Corcovado.,"CafeNet El Sol offers a reservation service for a fee of US$30, or $10 for one-day passes; details on their Corcovado page."
Callejon del Beso (زقاق القبلة). جوج بالكونات بينهم 69 سم فقط، عبارة عن موطن لأسطورة حب قديمة.,Callejon del Beso (Alley of the Kiss). Two balconies separated by only 69 centimeters is home of an old love legend.
رياضة الأودية (التجديف) هي عبارة عن لمشية لقاع واد كيكون إما ناشف أو عامر بالما.,"Canyoning (or: canyoneering) is about going in a bottom of a canyon, which is either dry or full of water."
كتجمع رياضة الأودية بين عناصر من السباحة والتسلق والقفز - ولكنها كتتطلب شوية دالتدريب أو الفورمة تكون مزيانة شوية (مقارنة بتسلق الصخور أو الغوص تحت الماء أو التزلج على جبال الألب، على سبيل المثال).,"Canyoning combines elements from swimming, climbing and jumping--but requires relatively little training or physical shape to get started (compared to rock climbing, scuba diving or alpine skiing, for example)."
تقدر تخيم ف الطوموبيل إذا كانت عندك ميني فان كبيرة أو شي طوموبيل كاطكاط أو سيدان أو ستيشن واغن فيها كوسانات قادر كاتطوا.,"Car camping is possible if you have a large minivan, SUV, Sedan or Station Wagon with seats that lay down."
الحمل للآخرين - متخليش لبوالز ديالك بعاد على عينيك، خاصة منين تكون دايز فالحدود الدولية.,"Carrying for others - Never let your bags out of your sight, especially when you are crossing international borders."
كلمة الخليّة جايا من الكلمة اللاتينية cella واللي معناها غرفةٌ صغيرةٌ.,Cell comes from the Latin word cella which means small room.
"الخلايا أساسيّةٌ وحاسمةٌ بزاف لدراسة الحياة، وغالباً ما كتتسمى ""وحدات البناء الأساسية للحياة"".","Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life""."
كان الأمير تشارلز أول فرد في العائلة الملكية البريطانية كيشد شهادة علمية.,Charles was the first member of the British Royal Family to be awarded a degree.
تشاور مع المؤسسة، وحتى قسم الهجرة للبلد اللي باغي تقرا فيها باش تاخد متطلبات مفصلة.,"Check with the institution, as well as the immigration department for the country you wish to study in for detailed requirements."
أفاد تشياو وشاريبوف بأنهما على بعد مسافةٍ آمنةٍ من دافعات تعديل الوضعية.,Chiao and Sharipov reported being a safe distance from the attitude adjustment thrusters.
كيطورو الأطفال ةاحد الوعي من القوالب النمطية العرقية والعنصرية فواح لعمر مبكر بزاف وهاذ القوالب النمطية العنصرية عندها آثار على السلوك.,Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior.
الدراري اللي مصابين باضطراب نقص الانتباه كيواجهوا صعوبةً في التركيز على أشياءٍ بحال الواجبات المدرسية، لكن يمكن لهم التركيز على الحاجات اللي كيستمتعوا يديروها بحال اللعب أو مشاهدة الرسوم المتحركة اللي كيبغيوها أو كتابة الجمل بلا علامات ترقيم.,"Children with ADD have a hard time focusing on things like school work, but they can concentrate on things they enjoy doing like playing games or watching their favorite cartoons or writing sentences without punctuation."
ممكن يولي الناتج المحلي الإجمالي للصين كبر من ديال امريكا ف عشرين عام.,China's GDP could be larger than the United States within two decades.
قال كريستوفر غارسيا -المتحدّث باسم قسم بوليس مدينة لوس أنجلوس- إنّ الجّاني الذّكر المشتبه به راه كيخضع للتحقيق بتهمة التعدّي على ممتلكات الغيْر فبلاصة التخريب.,"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism."
تعني تشينكوي تيري خمسة أراضي وهي كتضم خمسة قرى ساحلية صغيرة وهي ريوماغيوري ومانارولا وكورنيغليا وفيرنازا ومونتيروسو اللي موجودة في منطقة ليغوريا الإيطالية.,"Cinque Terre, which means Five Lands, comprises the five small coastal villages of Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso located in the Italian region of Liguria."
القهوة هي واحدة من السلع اللي متداولة بزاف في العالم، وتقدر تلقى أنواع كثيرة في المنطقة الأصلية ديالك.,"Coffee is one of the world's most traded commodities, and you can probably find many types in your home region."
يقدر يكون المناخ البارد هو الخطر الحقيقي الوحيد اللي غادي يواجهه الأشخاص غير المستعدين له.,Cold weather is perhaps the only real danger the unprepared will face.
بالمقارنة مع معظم المقابر الملكية الأخرى، لقبر نتاع توت عنخ آمون بالكاد كيستاهل يتشاف، لاحقاش صغير بزاف وفيه زواق قليل.,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration."
كتتسخدم لبيسيات اليوم باش تعالج التصاور والفيديوات.,Computers today are used to manipulate pictures and videos.
خذ بعين الاعتبار هنا مسألة الحصول على فحص العين في بلادك، وخاصةً إذا كان هدا لفحص داخل فالتأمين، وتقديم الوصفة الطبية في بلاصة أخرى.,"Consider getting an eye exam at home, especially if insurance covers it, and bringing the prescription along to be filed elsewhere."
مازال كيبنيوا خمسة ديال ناطحات السحاب الجديدة في الموقع، وكاين مركز ديال النقل وجردة تذكارية في الوسط.,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle."
أنماط التفكير التجميعي هي أساليب لحل المشاكل تجمع أفكار أو مجالات مختلفة باش يتلقا الحل.,Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.
أطلقت منصة Couchsurfing في يناير 2004 منين ما قدراتش المبرمجة كاسي فينتون تلقى بلاصة للإقامة في أيسلندا من بعد ما لقات على طيارة رخيصة لتما.,Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.
"الجريمة، وسوء النية تجاه الأجانب بشكل عام ماشي معروفة في الواقع في جرينلاند. حتى في المدن ماكيناش ""مناطق الخطر.""","Crime, and ill-will toward foreigners in general, is virtually unknown in Greenland. Even in the towns, there are no ""rough areas."""
خاص المواطنين الكوبيين اللي عندهوم بطاقة الإقامة الأمريكية الدائمة يمشيو لمقر قنصلية الإكوادور باش ياخدو إعفاء من هاذ الشرط.,Cuban citizens who are US green card holders should visit an Ecuadorian Consulate to obtain an exemption to this requirement.
تسجلات شي سحب مظلمة ممرتبطاش بشي أنشطة بركانية ف قاعدة الجبل.,Dark clouds unrelated to any volcanic activity were reported at the base of the mountain.
الطاقة المظلمة هي قوى مكتشافش نهائياً وكتأثر على الكون بشكل مستمر.,Dark energy is a completely invisible force that is constantly acting upon the universe.
عاون استكشاف وجمع المعلومات اللي دارو ديفيد هيدلي في العملية اللي داروها 10 مسلحين من الجماعة الباكستانية المسلحة لشكر طيبة.,David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.
تشمل رياضة المشي لمسافات طويلة في النهار مسافات اللي تقل عن ميلٍ واحدٍ وحتى المسافات أطول اللي يمكن تغطيتها في يوم واحد.,Day hiking involves distances of less than a mile up to longer distances that can be covered in a single day.
واخا التعليقات ديالو، قال إنه غيدعم المتنافسين البريطانيين ف أولمبياد 2012 اللي غاتدار ف لندن.,Despite his comments he said he will be supporting the British competitors at the 2012 Olympics being held in London.
"وواخا هاذ الاتهامات، ""ما"" ربح بسهولة على واحد برنامج سياسي الي كيطالب بتوثيق العلاقات مع البر الرئيسي ديال الصين.","Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland."
مازال النقاش الدبلوماسي على المنطقة موتر العلاقات بين أرمينيا وأذربيجان.,Diplomatic arguments over the region continue to mar relations between Armenia and Azerbaijan.
قال دبلوماسيون بأنهم لقاوا بزاف ديال الالتباس في الدستور الأفغاني وهاذشي خلا جولة الإعادة غير ضرورية.,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.
ما تنعسش على فرشٍ أو لبادةٍ على الأرض في البلايص اللي انت ما عارفش فيها الحيوانات المحلية.,Do not sleep on a mattress or pad on the ground in areas where you do not know the local fauna.
بدا الإمبراطور أوغسطس كيعين الأطباء، وشكلو أول فيلق طبي روماني باش يستخدمه بعد المعارك.,Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.
تذكّر أنك تزيد المصاريف الزائدة ديال التّأشيرات الإضافيّة وضرائب المغادرة والنّقل البريّ إلخ... بالنسبة لكاع ديك البلايص اللي برا إفريقيا.,"Don't forget to add in the extra costs of additional visas, departure taxes, ground transportation, etc. for all those places outside of Africa."
وقال الدكتور لي أنه ممرتاحش من جيهة التقارير اللي كتقول بأن الدراري في تركيا اتصابوا دابا بفيروس أنفلونزا الطيور A (H5N1) بلا ما يمرضوا.,Dr. Lee also expressed his concern about reports that children in Turkey have now become infected with the A(H5N1) avian influenza virus without becoming ill.
متكترش فالشراب. الكحول يقدر يأثر على الجميع بأشكال مختلفة، ومن المهم جدا تعرف الحدود ديالك.,"Drink alcoholic drinks with moderation. Alcohol affects everyone differently, and knowing your limit is very important."
نظرا للأهمية الدينية للمدينة، خصوصا لبلايص لكثيرة اللي في منطقة لمدينة لقديمة، القدس وحدة من الوجهات السياحية الرئيسية ف إسرائيل.,"Due to the religious significance of the city, and in particular the many sites of the Old City area, Jerusalem is one of the main tourist destinations in Israel."
استعملوا شاحنات التفريغ باش يسدوا المدخل ديال النفق، و80 بوليسي قدموا المساعدة باش يوجهوا سائقي الطموبيلات لطرقٍ بديلة.,Dump trucks were used to block tube entrances and assistance of 80 police were on hand to direct motorists to detours.
"وفي هاذ الخطاب دياله اللي بقى ساعتين قال ""هاذ النهار، شركة أبل غادي تخترع التليفون عاود ثاني، غادي نصنعوا التاريخ هاذ النهار"".","During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today""."
فهاذ الفترة اللي دوزها مع الفريق، سجل 403 هدف في 468 مباراة.,"During his time with the team, he scored 403 goals in 468 appearances."
خلال القرن الثمنتاش، لقات كمبوديا راسها محاصرة بين جوج جيرات قويين؛ وهما: تايلاند وفيتنام.,"During the 18th century Cambodia found itself squeezed between two powerful neighbors, Thailand and Vietnam."
وخلال العقود الثلاثة اللي فات ة، أسست الصين اقتصاداً سوقياً واخا بقائها رسمياً دولة شيوعية.,"During the last three decades, despite officially remaining a communist state, China has developed a market economy."
في فصل الصيف، ديروا بالكم من البعوض النوردي واخا ما كينقلش أي أمراض، ولكن يقدر يكون مزعج.,"During the summer, also watch out for the Nordic mosquitoes. Although they do not transmit any diseases, they can be irritating."
كل بلاد عندها القوانين ديالها الخاصة المتعلقة بأغراض الطوارئ اللي خاص تتواجد في السيارة.,Each country also has unique laws requiring what emergency items need to be in the car.
كل حلقة من البرنامج كتركز على موضوع في شي كتاب ومن بعد كيستكشفوه من خلال بزاف ديال ال قصص.,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.
استمرت هاذ الاقتحامات أو المسيرات اللي تيديروها البدو الرُحل لمدة 17 يومًا تقريبًا.,Each of these nomadic rampages or marches lasts for approximately 17 days.
كل حلقة من البرنامج كتقدم توصيات بشي كتب خاص الدراري يدوروا عليها فاش يمشيوا للمكتبة.,Each show would also provide recommendations for books that children should look for when they went to their library.
في بداية استقلال البلاد، ساعدت خبرة حدائق سنغافورة النباتية في تحويل الجزيرة إلى مدينة من الحدائق الاستوائية.,"Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City."
دولة الإكوادور كتفرض أنه خاص المواطنون الكوبيون توصلهوم برية دعوة قبل ميدخلو الإكوادور عن طريق المطارات الدوليّة أو نقاط الدخول الحدوديّة.,Ecuador requires that Cuban citizens receive an invitation letter prior to entering Ecuador through international airports or frontier admission points.
كتلعب ثمنتاش حفرةٍ في الجولة العادية، وكيبدا اللاعبون عادةً من أول حفرة في الملعب وكيساليوا في الثمنتاش.,"Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth."
ثمنتاش في المائة من الفنزويليين ماخدامينش، وأغلبية اللي خدامين تيكونو غير فالنوار.,"Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy."
العناصر والمركبات قادرة أنها تنتاقل من حالة إلى أخرى بلا متتغير.,Elements and compounds can move from one state to another and not change.
إنسيلادوس هو الجسم اللي كيعكس بزاف فالمجموعة الشمسية، وهو كيعكس حوالي 90% من ضوء الشمس اللي كيصطدم به.,"Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it."
انكلترا عاشت فترة طويلة من السّلام من بعد الغزو ديال دانلو.,England had experienced a long period of peace after the reconquest of the Danelaw.
الدخول إلى جنوب أفريقيا بالطوموبيل طريقة زوينة باش يشوف لواحد الجمال دالمنطقة زيد على أنه كيوصلك لشي بلايص برا ديال الطرق السياحية اللي موالفة.,Entering Southern Africa by car is an amazing way to see all the region's beauty as well as to get to places off the normal tourist routes.
خاصة فأيامك الأولى، فكر أنك تصرف بزاف على الفنادق اللي عندها الستيل غربي وجودة عالية ولماكلة والخدمات اللي طتعاون على التأقلم.,"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize."
وكتراوح التقديرات بين 340 مليون و500 مليون متحدث، تيوصل حتال 800 مليون واحد قادرين يفهمو اللغة.,"Estimates range from 340 million to 500 million speakers, and as many as 800 million people can understand the language."
تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) كتضم 3% من البلاد.,European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country.
حتى واخا تكون كتصوك طوموبيلتك فالغابات المطرية شبه الاستوائية، إذا فتحتي لبيبان شي ثوانى وأنت يالاه داخ للطوموبيل فهو وقت كافي باش يدخل الناموس.,"Even if you're driving through the subtropical rainforest, a few seconds with the doors open while you get inside the vehicle is enough time for mosquitoes to get in the vehicle with you."
وحتى واخا كنت واقف فوسط شس دمار لعمر ديالو ألف سنة، غيكون ساهل باش أنت ترجع للذهن ديالك لأصوات والروائح نتاع المعارك اللي دازت تما هادي شحال، وتسمع تقريباً نفس الصوت نتاع لحافر دلعود على لحجر وأن تشم ريحت لخوف اللي طالعة من لحفرة دلبنيقة.,"Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits."
وحتى أشد الصحاري حرارة تقدر تولي باردة كاع في الليل. وكيتعتبر انخفاض حرارة الجسم خطر حقيقي يلا ملبستيش ملابس دافئة.,Even the hottest of deserts can become extremely cold at night. Hypothermia is a real risk without warm clothing.
كل حانوت نتاع القنت عامر بالخليط نتاع ليكارط دتيليفون المدفوعة مُقدماً اللي يمكن استخدامها في التليفونات العمومية أو في التليفونات العادية.,Every corner store is filled with a confusing array of pre-paid phone cards that can be used from pay phones or ordinary telephones.
كل قطار فيه عربات من الدرجة الأولى والدرجة الثالثة؛ وكتكون عربات الدرجة الأولى دائماً في نهاية القطار اللي قريب لمدينة كيب تاون.,Every train has both MetroPlus and Metro coaches; the MetroPlus coaches are always on the end of the train nearest Cape Town.
كييهاجر حوالي 1.5 مليون من الحيوانات العاشبة في شهر أكتوبر كل عام إلى السهول الجنوبية، وتيدوزو على واد مارا، من التلال الشمالية باش يوصلو للشتا.,"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains."
بين الدليل من بعد باللي راه وقع التلاعب في الاوراق ديال الامتحانات واتهموا فيها هال و34 موظف آخر في التعليم في عام 2013.,"Evidence thereafter indicated test papers were tampered with Hall, along with 34 other education officials, was indicted in 2013."
ممكن أن النظارات دالشمس تكون أقل سعراً في البلاد الأجنبية، خاصة في البلاد اللي الدخل فيها منخفض واللي كتكون تكلفة العمالة بها أقل.,"Eyeglasses can be cheaper in a foreign country, especially in low-income countries where labour costs are lower."
نادرا فين غاتشوف عائلات عندهم دراري صغار، ولكن كتسمح شي أوطيلات دالشباب أنهم يكونو ف غرف خاصة.,"Families with children are a rare sight, but some hostels do allow them in private rooms."
تقد تحتاج العائلة اللي عندها دراري صغار شي إعدادات زايدين، ولكن واخا هكاك تيبقا تدواز النهار برا شي حاجة ممكنة بسهولة حتى اللي عندهم الرضع والدراري اللي مزال متيقراوش.,"Families with small children may need more preparations, but a day outdoors is easily possible even with babies and pre-school children."
فيليشيا، اللي كانت واحد النهار عاصفة من الدرجة الرابعة بالنسبة لمقياس سفير-سمبسون ديال الأعاصير، ما بقاتش مجهدة بسبب واحد المنخفض استوائي وغادي تمشي فحالها كاع نهار الثلاث.,"Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday."
تم الإبلاغ على قل من ألف حالة فالبشر، ولكن شي وحدين كانو قاتلين.,"Fewer than a thousand cases have ever been reported in humans, but some of them have been fatal."
وخمستاش من هاذ الصخور جات مع النيزك اللي طاح في يوليوز اللي فات.,Fifteen of these rocks are attributed to the meteorite shower last July.
عمر دارك بقهوة غنية في الصباح وشوية دأتاي دالبابونج المريح في الليل.,Fill your home with a rich coffee in the morning and some relaxing chamomile tea at night.
"قال القائد ديال البومبية سكوت كونس: ""كان نهار سخون بزاف في سانتا كلارا ودرجات الحرارة وصلات للتسعينيات"".","Fire captain Scott Kouns said, ""It was a hot day in the Santa Clara with temperatures in the 90s."
أولاً، خاص تطفي مفتاح المصباح أو تفصل الكابل.,"First, the switch for the light fixture needs to be turned off or the cable disconnected."
بزاف ديال الحوت كيموت بسبب التركز العالي ديال السموم في الماء.,Fish often die because of the high concentrations of the toxin in the waters.
الضرون ممنوع تطير حدا المطار أولا فوق التجمعات على الأغلب، حتى واخا كان قانوني فالنطقة ديالك.,"Flying a drone near an airport or over a crowd is almost always a bad idea, even if it's not illegal in your area."
كيتبعو المتابعين طريقة معينة في الحياة، أو ممارسات الهدف منها هو تعزيز ديك التجارب.,"Followers pursue certain ways of living, or practices that are intended to nurture those experiences."
على حسب القياس ديال الأعماق لقاو الحطام بواسطة واحد المركبة كيتحكموا فيها على بعد.,Following seabed mapping the wreck was found using an ROV.
من بعد هاذ العملية، الهيئة التشريعية المنتخبة اللي جاية إما في 2015 أو 2016 غادي تراجع HJR-3 مرة أخرى باش يبقاو في العملية.,"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process."
من بعد السباق، باقي كيسلوسكي هو البطل ديال بطولة السائقين وعنده 2250 نقطة.,"Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points."
لرحلة نهارية على طول طريق السهل خاص شوية د الاستعدادات، ويمكن لأي واحد عندو لياقة بشكل معتدل يستمتع بها.,"For a day hike along an easy trail little preparations are needed, and any moderately fit person can enjoy them."
غيعاودولك شي دراري القصة مقابل قروش قليلة.,For a few pennies some children will tell you the story.
من فترة طويلة خلال القرن التسعتاش والعشرين، كان كيحسابهم السكان الأصليين ديال نيوزيلندا هم شعب الماوري، اللي اصطادوا الطيور العملاقة الي كتسمى المواس.,"For a long time during the nineteenth and twentieth centuries, it was believed the first inhabitants of New Zealand were the Maori people, who hunted giant birds called moas."
على سبيل المثال، إذا شفتي شي شخص كيهرس نافذة طوموبيل، فمن المحتمل أنك تفترض أنه كيحاول يسرق طوموبيل نتاع شي واحد غريب.,"For example, if you were to see someone breaking a car window, you would probably assume he was trying to steal a stranger’s car."
على سبيل المثال، الأطفال اللي كينتاميو لأقلية عرقية تقال عليها أنها مكتحققش نتائج جيدة في المدرسة تيميلو إلى الأداء غير الجيد في المدرسة بمجرد أنهم يعرفو الصورة النمطية اللي مرتبطة بالعرق ديالهم.,"For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race."
بالنسبة لمعظم الدول، غتحتاج برية دلعرض من المؤسسة اللي باغي تقرا فيها، وحتى إثبات على رصيد مالي باش تصرف علر راسك فالسنة الأولى من دراسة ديالك على الأقل.,"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course."
السبب الأول هو معاناة شمال نيو مكسيكو من مشاكل كبيرة في القيادة تحت تأثير الشراب، كما أن كثافة السائقين المخمورين زايدة حدا لبيران اللي فالمدن الصغيرة.,"For one thing, northern New Mexico has significant problems with drunk driving, and the concentration of intoxicated drivers is high close to small-town bars."
على ذاكشي السبب، تجد كل شيء تراه على شاشة التلفاز مقطوع الحواف، من الأعلى والأسفل و الجانبين.,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides."
على ذاكشي، كان خاصهم يتهناو من القواعد والسفن البريطانيّة في مصر. بخلاف ذلك، السفن الحربيّة الإيطالية مكانش خاصها دير شي حاجة أخرى.,"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else."
أول مر ة الصين في العام اللي فات كتصدر طوموبيلات أكثر من ألمانيا، ودازت امريكا اللي هي أكبر سوق في هاذ الصناعة.,"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry."
لهادوك اللي متيعرفوش المصطلحات الطبّيّة، جوج دلكلمات معدٍ وسارٍ عندهم جوج دلمعاني مختالفين.,"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings."
الرحلة إلى ممر Sea to Sky أساسيّة للناس اللي كيستمتعون بالأنشطة الخارجية.,"For those who enjoy outdoor activities, a trek up the Sea to Sky corridor is essential."
اللي عندهم استعداد يضحيوا بالراحة والوقت ومعرفة المتوقّع، باش يخفضوا المصاريف إلى تقريبا الصفر، تعرّف على السفر بأقل ميزانية.,"For those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel."
حاكم ولاية ماساتشوستس اللي فات ميت رومني ربح في الانتخابات التمهيدية الرئاسية ديال الحزب الجمهوري في فلوريدا نهار الثلاث بأكثر من 46 في المائة من الأصوات.,Former Massachusetts governor Mitt Romney won the Florida Republican Party presidential primary election on Tuesday with over 46 percent of the vote.
نيوت جينجريتش، رئيس مجلس النواب الأمريكي اللي فات، جا في المرتبة الثانية بالنسبة ديال 32%.,Former U.S. Speaker of the House Newt Gingrich came in second with 32 percent.
كشفت عظام الأيدي بحفريّات تتراوح أعمارها بين جوج مليون وثلاثة مليون عام عن هاذ التحوّل في اختصاص اليد، من التنقّل إلى المناورة.,Fossil hand bones two million to three million years old reveal this shift in specialization of the hand from locomotion to manipulation.
بعد أريع سنوات، تعكات براءة اختراع، واللي كانت أول براءة اختراع في العالم كتتعطا في مجال التصوير بالرنين المغناطيسي.,"Four years later a patent was granted, which was the world's first patent issued in the field of MRI."
دابا السرعة ديال الريح ديال إعصار فريد وصت حاليا لـ 105 ميل في الساعة (165 كم/ساعة) وراه غادي جهة الشمال الغربي.,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.
فريد هو أقوى إعصار استوائي تسجل حتى لدابا في جنوب وشرق المحيط الأطلسي منين ظهرات صور الأقمار الاصطناعية، وهو بوحده ثالث أكبر إعصار تسجل في الشرق بزاوية 35 درجة من الغرب.,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W."
القانون الفرنساوي تبدل. بدا النشاط دياله السياسي وهو عنده 15 العام منين دخل في المقاومة الفرنسية في الحرب العالمية الثانية.,French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.
غياخد الجنرال جيمس أوينج 700 من عناصر المليشيا فالواد في عبارة ترينتون، وغيستولي على الجسر فوق خليج أسونبينك، غيمنع أي قوات معادية من أنها تهرب.,"General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping."
يقدر الجنرال جون كادوالادر يدير هجوم باش يشتت لانتباه ضد الحامية البريطانية في بوردينتاون ويمنع أي تعزيزات.,"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements."
"كان يطلق على الغواصات الألمانية ""U-Boats""، وبرع الألمان في الملاحة بغواصاتهم وتشغيلها.",German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.
"أطلقت ألمانيا على الهجوم الاسم السري ""عملية أسد البحر"". فَقَد الجيش البريطاني معظم أسلحته الثقيلة وإمداداته عند إجلائه من دونكيرك، على ذاكشي فقد كان ضعيفاً إلى حدٍ كبير.","Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak."
باش تركب طوموبيل ديالك الخاصة وتنطالق بيها ف رحلة طويلة عندها واحد لجاذبية ذاتية كتكون فلبساطة ديال الشي.,Getting into your own car and heading off on a long road trip has an intrinsic appeal in its simplicity.
نظراً لبُعد بزاف ديال لقرى ديال بويبلو، مغتكونش عندك فرصة كبيرة باش تعيش الحياة الليلية بلا متسافر إلى ألباكركي أو سانتا فيه.,"Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe."
الغولف لعبة كميستخدمو فيها اللاعبين لعصي باش يضربو لكرات ويحاولو يدخلوها فتقابي.,Golf is a game in which players use clubs to hit balls into holes.
غيبقى الجشع والأنانية معنا أبد الدهر، إن من طبيعة التعاون أنه منين تستفيد الغالبية، غتكون دائماً فرصة لكسب المزيد على المدى القصير في حال التصرف بأنانية.,Greed and selfishness will always be with us and it is the nature of cooperation that when the majority benefit there will always be more to gain in the short term by acting selfishly
حط جريدلي أو ستارك واحد لوتد على بعد حوالي 100 قدم (30 مترًا) قدام السياج وأمر باش ميطلق حتى واحد النار حتى يدوزوه ضباط الجيش.,Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.
الهانجول هي الأبجدية الوحيدة اللي اخترعت عن قصد في الاستخدام اليومي الشعبي عام 1444 في عهد الملك سيجونج (1418 - 1450).,Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).
